Year_Month,Contract_region,Card_type,Trip
2016-07,Night Ride 10,Adult,7737
2016-07,Night Ride 10,Child/Youth,71
2016-07,Night Ride 10,Concession,604
2016-07,Night Ride 10,Free Travel,7
2016-07,Night Ride 10,Senior/Pensioner,292
2016-07,Night Ride 100,Adult,618
2016-07,Night Ride 100,Child/Youth,14
2016-07,Night Ride 100,Concession,57
2016-07,Night Ride 100,Senior/Pensioner,29
2016-07,Night Ride 11,Adult,5340
2016-07,Night Ride 11,Child/Youth,60
2016-07,Night Ride 11,Concession,319
2016-07,Night Ride 11,Free Travel,1
2016-07,Night Ride 11,Senior/Pensioner,334
2016-07,Night Ride 20,Adult,502
2016-07,Night Ride 20,Child/Youth,5
2016-07,Night Ride 20,Concession,71
2016-07,Night Ride 20,Senior/Pensioner,42
2016-07,Night Ride 30,Adult,4960
2016-07,Night Ride 30,Child/Youth,102
2016-07,Night Ride 30,Concession,639
2016-07,Night Ride 30,Free Travel,21
2016-07,Night Ride 30,Senior/Pensioner,634
2016-07,Night Ride 40,Adult,5976
2016-07,Night Ride 40,Child/Youth,84
2016-07,Night Ride 40,Concession,462
2016-07,Night Ride 40,Senior/Pensioner,579
2016-07,Night Ride 50,Adult,6556
2016-07,Night Ride 50,Child/Youth,80
2016-07,Night Ride 50,Concession,460
2016-07,Night Ride 50,Senior/Pensioner,633
2016-07,Night Ride 60,Adult,11446
2016-07,Night Ride 60,Child/Youth,89
2016-07,Night Ride 60,Concession,511
2016-07,Night Ride 60,Free Travel,3
2016-07,Night Ride 60,Senior/Pensioner,977
2016-07,Night Ride 61,Adult,1313
2016-07,Night Ride 61,Child/Youth,13
2016-07,Night Ride 61,Concession,168
2016-07,Night Ride 61,Senior/Pensioner,100
2016-07,Night Ride 70,Adult,5560
2016-07,Night Ride 70,Child/Youth,55
2016-07,Night Ride 70,Concession,546
2016-07,Night Ride 70,Senior/Pensioner,611
2016-07,Night Ride 71,Adult,1863
2016-07,Night Ride 71,Child/Youth,38
2016-07,Night Ride 71,Concession,301
2016-07,Night Ride 71,Senior/Pensioner,185
2016-07,Night Ride 80,Adult,3652
2016-07,Night Ride 80,Child/Youth,98
2016-07,Night Ride 80,Concession,509
2016-07,Night Ride 80,Senior/Pensioner,289
2016-07,Night Ride 90,Adult,4997
2016-07,Night Ride 90,Child/Youth,135
2016-07,Night Ride 90,Concession,1004
2016-07,Night Ride 90,Senior/Pensioner,228
2016-07,Outer Sydney Metro Contract 1,Adult,3321
2016-07,Outer Sydney Metro Contract 1,Child/Youth,1202
2016-07,Outer Sydney Metro Contract 1,Concession,3995
2016-07,Outer Sydney Metro Contract 1,Free Travel,164
2016-07,Outer Sydney Metro Contract 1,School Student,15491
2016-07,Outer Sydney Metro Contract 1,Senior/Pensioner,6197
2016-07,Outer Sydney Metro Contract 10,Adult,51884
2016-07,Outer Sydney Metro Contract 10,Child/Youth,14668
2016-07,Outer Sydney Metro Contract 10,Concession,46653
2016-07,Outer Sydney Metro Contract 10,Free Travel,835
2016-07,Outer Sydney Metro Contract 10,School Student,96126
2016-07,Outer Sydney Metro Contract 10,Senior/Pensioner,90518
2016-07,Outer Sydney Metro Contract 11,Adult,717
2016-07,Outer Sydney Metro Contract 11,Child/Youth,244
2016-07,Outer Sydney Metro Contract 11,Concession,503
2016-07,Outer Sydney Metro Contract 11,Free Travel,11
2016-07,Outer Sydney Metro Contract 11,School Student,3434
2016-07,Outer Sydney Metro Contract 11,Senior/Pensioner,860
2016-07,Outer Sydney Metro Contract 12,Adult,12455
2016-07,Outer Sydney Metro Contract 12,Child/Youth,2863
2016-07,Outer Sydney Metro Contract 12,Concession,5697
2016-07,Outer Sydney Metro Contract 12,Free Travel,171
2016-07,Outer Sydney Metro Contract 12,School Student,10338
2016-07,Outer Sydney Metro Contract 12,Senior/Pensioner,18338
2016-07,Outer Sydney Metro Contract 2,Adult,13604
2016-07,Outer Sydney Metro Contract 2,Child/Youth,4639
2016-07,Outer Sydney Metro Contract 2,Concession,14488
2016-07,Outer Sydney Metro Contract 2,Free Travel,397
2016-07,Outer Sydney Metro Contract 2,School Student,68344
2016-07,Outer Sydney Metro Contract 2,Senior/Pensioner,26395
2016-07,Outer Sydney Metro Contract 3,Adult,7243
2016-07,Outer Sydney Metro Contract 3,Child/Youth,994
2016-07,Outer Sydney Metro Contract 3,Concession,5628
2016-07,Outer Sydney Metro Contract 3,Free Travel,129
2016-07,Outer Sydney Metro Contract 3,School Student,11464
2016-07,Outer Sydney Metro Contract 3,Senior/Pensioner,7850
2016-07,Outer Sydney Metro Contract 4,Adult,14356
2016-07,Outer Sydney Metro Contract 4,Child/Youth,3347
2016-07,Outer Sydney Metro Contract 4,Concession,13257
2016-07,Outer Sydney Metro Contract 4,Employee,1
2016-07,Outer Sydney Metro Contract 4,Free Travel,122
2016-07,Outer Sydney Metro Contract 4,School Student,13590
2016-07,Outer Sydney Metro Contract 4,Senior/Pensioner,24258
2016-07,Outer Sydney Metro Contract 5,Adult,102580
2016-07,Outer Sydney Metro Contract 5,Child/Youth,15832
2016-07,Outer Sydney Metro Contract 5,Concession,66940
2016-07,Outer Sydney Metro Contract 5,Employee,3156
2016-07,Outer Sydney Metro Contract 5,Free Travel,957
2016-07,Outer Sydney Metro Contract 5,School Student,45224
2016-07,Outer Sydney Metro Contract 5,Senior/Pensioner,124570
2016-07,Outer Sydney Metro Contract 6,Adult,92105
2016-07,Outer Sydney Metro Contract 6,Child/Youth,18453
2016-07,Outer Sydney Metro Contract 6,Concession,45740
2016-07,Outer Sydney Metro Contract 6,Free Travel,1279
2016-07,Outer Sydney Metro Contract 6,School Student,44997
2016-07,Outer Sydney Metro Contract 6,Senior/Pensioner,114901
2016-07,Outer Sydney Metro Contract 7,Adult,40425
2016-07,Outer Sydney Metro Contract 7,Child/Youth,9970
2016-07,Outer Sydney Metro Contract 7,Concession,25285
2016-07,Outer Sydney Metro Contract 7,Free Travel,626
2016-07,Outer Sydney Metro Contract 7,School Student,47535
2016-07,Outer Sydney Metro Contract 7,Senior/Pensioner,53142
2016-07,Outer Sydney Metro Contract 8,Adult,31266
2016-07,Outer Sydney Metro Contract 8,Child/Youth,6202
2016-07,Outer Sydney Metro Contract 8,Concession,4706
2016-07,Outer Sydney Metro Contract 8,Free Travel,93
2016-07,Outer Sydney Metro Contract 8,School Student,34602
2016-07,Outer Sydney Metro Contract 8,Senior/Pensioner,15507
2016-07,Outer Sydney Metro Contract 9,Adult,6314
2016-07,Outer Sydney Metro Contract 9,Child/Youth,1053
2016-07,Outer Sydney Metro Contract 9,Concession,1046
2016-07,Outer Sydney Metro Contract 9,Free Travel,31
2016-07,Outer Sydney Metro Contract 9,School Student,11578
2016-07,Outer Sydney Metro Contract 9,Senior/Pensioner,3547
2016-07,Sydney Metro Contract 1,Adult,390433
2016-07,Sydney Metro Contract 1,Child/Youth,62800
2016-07,Sydney Metro Contract 1,Concession,136064
2016-07,Sydney Metro Contract 1,Free Travel,1149
2016-07,Sydney Metro Contract 1,School Student,138642
2016-07,Sydney Metro Contract 1,Senior/Pensioner,206110
2016-07,Sydney Metro Contract 10,Adult,234451
2016-07,Sydney Metro Contract 10,Child/Youth,41035
2016-07,Sydney Metro Contract 10,Concession,52410
2016-07,Sydney Metro Contract 10,Free Travel,966
2016-07,Sydney Metro Contract 10,School Student,65516
2016-07,Sydney Metro Contract 10,Senior/Pensioner,140185
2016-07,Sydney Metro Contract 12,Adult,83809
2016-07,Sydney Metro Contract 12,Child/Youth,25578
2016-07,Sydney Metro Contract 12,Concession,14085
2016-07,Sydney Metro Contract 12,Free Travel,142
2016-07,Sydney Metro Contract 12,School Student,56735
2016-07,Sydney Metro Contract 12,Senior/Pensioner,32213
2016-07,Sydney Metro Contract 13,Adult,263240
2016-07,Sydney Metro Contract 13,Child/Youth,34179
2016-07,Sydney Metro Contract 13,Concession,76144
2016-07,Sydney Metro Contract 13,Free Travel,686
2016-07,Sydney Metro Contract 13,School Student,45215
2016-07,Sydney Metro Contract 13,Senior/Pensioner,181546
2016-07,Sydney Metro Contract 14,Adult,200819
2016-07,Sydney Metro Contract 14,Child/Youth,38057
2016-07,Sydney Metro Contract 14,Concession,23618
2016-07,Sydney Metro Contract 14,Free Travel,214
2016-07,Sydney Metro Contract 14,School Student,34611
2016-07,Sydney Metro Contract 14,Senior/Pensioner,42259
2016-07,Sydney Metro Contract 15,Adult,80130
2016-07,Sydney Metro Contract 15,Child/Youth,16836
2016-07,Sydney Metro Contract 15,Concession,43454
2016-07,Sydney Metro Contract 15,Free Travel,685
2016-07,Sydney Metro Contract 15,School Student,31033
2016-07,Sydney Metro Contract 15,Senior/Pensioner,55835
2016-07,Sydney Metro Contract 2,Adult,95379
2016-07,Sydney Metro Contract 2,Child/Youth,15217
2016-07,Sydney Metro Contract 2,Concession,37534
2016-07,Sydney Metro Contract 2,Free Travel,663
2016-07,Sydney Metro Contract 2,School Student,33879
2016-07,Sydney Metro Contract 2,Senior/Pensioner,80018
2016-07,Sydney Metro Contract 3,Adult,358199
2016-07,Sydney Metro Contract 3,Child/Youth,48558
2016-07,Sydney Metro Contract 3,Concession,141581
2016-07,Sydney Metro Contract 3,Employee,1
2016-07,Sydney Metro Contract 3,Free Travel,1299
2016-07,Sydney Metro Contract 3,School Student,69157
2016-07,Sydney Metro Contract 3,Senior/Pensioner,242938
2016-07,Sydney Metro Contract 4,Adult,1110352
2016-07,Sydney Metro Contract 4,Child/Youth,89626
2016-07,Sydney Metro Contract 4,Concession,143585
2016-07,Sydney Metro Contract 4,Employee,1
2016-07,Sydney Metro Contract 4,Free Travel,1436
2016-07,Sydney Metro Contract 4,School Student,106945
2016-07,Sydney Metro Contract 4,Senior/Pensioner,184319
2016-07,Sydney Metro Contract 5,Adult,101718
2016-07,Sydney Metro Contract 5,Child/Youth,16248
2016-07,Sydney Metro Contract 5,Concession,26744
2016-07,Sydney Metro Contract 5,Free Travel,374
2016-07,Sydney Metro Contract 5,School Student,18869
2016-07,Sydney Metro Contract 5,Senior/Pensioner,97341
2016-07,Sydney Metro Contract 6,Adult,2410236
2016-07,Sydney Metro Contract 6,Child/Youth,139732
2016-07,Sydney Metro Contract 6,Concession,262299
2016-07,Sydney Metro Contract 6,Employee,19783
