Year_Month,Route,Card_type,Trip
2016-07,118 Newcastle,Adult,18047
2016-07,118 Newcastle,Child/Youth,1500
2016-07,118 Newcastle,Concession,5659
2016-07,118 Newcastle,Employee,407
2016-07,118 Newcastle,Free Travel,193
2016-07,118 Newcastle,School Student,566
2016-07,118 Newcastle,Senior/Pensioner,7318
2016-07,F1 Manly,Adult,276206
2016-07,F1 Manly,Child/Youth,33714
2016-07,F1 Manly,Concession,20538
2016-07,F1 Manly,Employee,1860
2016-07,F1 Manly,Free Travel,413
2016-07,F1 Manly,School Student,164
2016-07,F1 Manly,Senior/Pensioner,49522
2016-07,F1 Manly,Sgl Trip Ferry Adult,4992
2016-07,F1 Manly,Sgl Trip Ferry Child/Youth,1046
2016-07,F2 Taronga Zoo,Adult,77773
2016-07,F2 Taronga Zoo,Child/Youth,16818
2016-07,F2 Taronga Zoo,Concession,6932
2016-07,F2 Taronga Zoo,Employee,363
2016-07,F2 Taronga Zoo,Free Travel,80
2016-07,F2 Taronga Zoo,School Student,14
2016-07,F2 Taronga Zoo,Senior/Pensioner,9558
2016-07,F2 Taronga Zoo,Sgl Trip Ferry Adult,637
2016-07,F2 Taronga Zoo,Sgl Trip Ferry Child/Youth,180
2016-07,F3 Parramatta River,Adult,182348
2016-07,F3 Parramatta River,Child/Youth,20306
2016-07,F3 Parramatta River,Concession,11790
2016-07,F3 Parramatta River,Employee,921
2016-07,F3 Parramatta River,Free Travel,285
2016-07,F3 Parramatta River,School Student,321
2016-07,F3 Parramatta River,Senior/Pensioner,32052
2016-07,F3 Parramatta River,Sgl Trip Ferry Adult,1508
2016-07,F3 Parramatta River,Sgl Trip Ferry Child/Youth,463
2016-07,F4 Darling Harbour,Adult,120187
2016-07,F4 Darling Harbour,Child/Youth,23001
2016-07,F4 Darling Harbour,Concession,11381
2016-07,F4 Darling Harbour,Employee,706
2016-07,F4 Darling Harbour,Free Travel,158
2016-07,F4 Darling Harbour,School Student,117
2016-07,F4 Darling Harbour,Senior/Pensioner,19131
2016-07,F4 Darling Harbour,Sgl Trip Ferry Adult,1209
2016-07,F4 Darling Harbour,Sgl Trip Ferry Child/Youth,386
2016-07,F5 Neutral Bay,Adult,36787
2016-07,F5 Neutral Bay,Child/Youth,2056
2016-07,F5 Neutral Bay,Concession,2860
2016-07,F5 Neutral Bay,Employee,209
2016-07,F5 Neutral Bay,Free Travel,30
2016-07,F5 Neutral Bay,School Student,13
2016-07,F5 Neutral Bay,Senior/Pensioner,8453
2016-07,F5 Neutral Bay,Sgl Trip Ferry Adult,406
2016-07,F5 Neutral Bay,Sgl Trip Ferry Child/Youth,89
2016-07,F6 Mosman Bay,Adult,52441
2016-07,F6 Mosman Bay,Child/Youth,3559
2016-07,F6 Mosman Bay,Concession,4247
2016-07,F6 Mosman Bay,Employee,375
2016-07,F6 Mosman Bay,Free Travel,51
2016-07,F6 Mosman Bay,School Student,36
2016-07,F6 Mosman Bay,Senior/Pensioner,11867
2016-07,F6 Mosman Bay,Sgl Trip Ferry Adult,405
2016-07,F6 Mosman Bay,Sgl Trip Ferry Child/Youth,129
2016-07,F7 Eastern Suburbs,Adult,97483
2016-07,F7 Eastern Suburbs,Child/Youth,7496
2016-07,F7 Eastern Suburbs,Concession,7955
2016-07,F7 Eastern Suburbs,Employee,410
2016-07,F7 Eastern Suburbs,Free Travel,107
2016-07,F7 Eastern Suburbs,School Student,64
2016-07,F7 Eastern Suburbs,Senior/Pensioner,14287
2016-07,F7 Eastern Suburbs,Sgl Trip Ferry Adult,873
2016-07,F7 Eastern Suburbs,Sgl Trip Ferry Child/Youth,254
2016-08,118 Newcastle,Adult,19815
2016-08,118 Newcastle,Child/Youth,2625
2016-08,118 Newcastle,Concession,955
2016-08,118 Newcastle,Employee,519
2016-08,118 Newcastle,Free Travel,254
2016-08,118 Newcastle,School Student,996
2016-08,118 Newcastle,Senior/Pensioner,8681
2016-08,F1 Manly,Adult,243181
2016-08,F1 Manly,Child/Youth,23633
2016-08,F1 Manly,Concession,10683
2016-08,F1 Manly,Employee,1513
2016-08,F1 Manly,Free Travel,513
2016-08,F1 Manly,School Student,403
2016-08,F1 Manly,Senior/Pensioner,52013
2016-08,F1 Manly,Sgl Trip Ferry Adult,20503
2016-08,F1 Manly,Sgl Trip Ferry Child/Youth,3674
2016-08,F2 Taronga Zoo,Adult,68776
2016-08,F2 Taronga Zoo,Child/Youth,13045
2016-08,F2 Taronga Zoo,Concession,2152
2016-08,F2 Taronga Zoo,Employee,288
2016-08,F2 Taronga Zoo,Free Travel,99
2016-08,F2 Taronga Zoo,School Student,38
2016-08,F2 Taronga Zoo,Senior/Pensioner,9163
