Year_Month,Location,Card_type,Trip
2016-07,Arlington Light Rail,Adult,7686
2016-07,Arlington Light Rail,Child/Youth,1292
2016-07,Arlington Light Rail,Concession,482
2016-07,Arlington Light Rail,Free Travel,16
2016-07,Arlington Light Rail,School Student,66
2016-07,Arlington Light Rail,Senior/Pensioner,848
2016-07,Arlington Light Rail,Sgl Trip LR Adult,30
2016-07,Arlington Light Rail,Sgl Trip LR Child/Youth,12
2016-07,Capitol Square Light Rail,Adult,65485
2016-07,Capitol Square Light Rail,Child/Youth,2607
2016-07,Capitol Square Light Rail,Concession,1926
2016-07,Capitol Square Light Rail,Free Travel,28
2016-07,Capitol Square Light Rail,School Student,5
2016-07,Capitol Square Light Rail,Senior/Pensioner,11424
2016-07,Capitol Square Light Rail,Sgl Trip LR Adult,130
2016-07,Capitol Square Light Rail,Sgl Trip LR Child/Youth,35
2016-07,Central Grand Concourse Light Rail,Adult,142729
2016-07,Central Grand Concourse Light Rail,Child/Youth,9927
2016-07,Central Grand Concourse Light Rail,Concession,7079
2016-07,Central Grand Concourse Light Rail,Employee,1
2016-07,Central Grand Concourse Light Rail,Free Travel,225
2016-07,Central Grand Concourse Light Rail,School Student,15
2016-07,Central Grand Concourse Light Rail,Senior/Pensioner,44498
2016-07,Central Grand Concourse Light Rail,Sgl Trip LR Adult,284
2016-07,Central Grand Concourse Light Rail,Sgl Trip LR Child/Youth,61
2016-07,Convention Light Rail,Adult,29645
2016-07,Convention Light Rail,Child/Youth,3382
2016-07,Convention Light Rail,Concession,1377
2016-07,Convention Light Rail,Free Travel,32
2016-07,Convention Light Rail,School Student,36
2016-07,Convention Light Rail,Senior/Pensioner,3292
2016-07,Convention Light Rail,Sgl Trip LR Adult,58
2016-07,Convention Light Rail,Sgl Trip LR Child/Youth,17
2016-07,Dulwich Grove Light Rail,Adult,5906
2016-07,Dulwich Grove Light Rail,Child/Youth,779
2016-07,Dulwich Grove Light Rail,Concession,379
2016-07,Dulwich Grove Light Rail,Free Travel,1
2016-07,Dulwich Grove Light Rail,School Student,39
2016-07,Dulwich Grove Light Rail,Senior/Pensioner,845
2016-07,Dulwich Grove Light Rail,Sgl Trip LR Adult,11
2016-07,Dulwich Grove Light Rail,Sgl Trip LR Child/Youth,2
2016-07,Dulwich Hill Light Rail,Adult,13591
2016-07,Dulwich Hill Light Rail,Child/Youth,2219
2016-07,Dulwich Hill Light Rail,Concession,1260
2016-07,Dulwich Hill Light Rail,Free Travel,3
2016-07,Dulwich Hill Light Rail,School Student,95
2016-07,Dulwich Hill Light Rail,Senior/Pensioner,2958
2016-07,Dulwich Hill Light Rail,Sgl Trip LR Adult,27
2016-07,Dulwich Hill Light Rail,Sgl Trip LR Child/Youth,15
2016-07,Exhibition Centre Light Rail,Adult,9532
2016-07,Exhibition Centre Light Rail,Child/Youth,876
2016-07,Exhibition Centre Light Rail,Concession,372
2016-07,Exhibition Centre Light Rail,Free Travel,15
2016-07,Exhibition Centre Light Rail,School Student,6
2016-07,Exhibition Centre Light Rail,Senior/Pensioner,2612
2016-07,Exhibition Centre Light Rail,Sgl Trip LR Child/Youth,2
2016-07,Fish Market Light Rail,Adult,36999
2016-07,Fish Market Light Rail,Child/Youth,2327
2016-07,Fish Market Light Rail,Concession,1091
2016-07,Fish Market Light Rail,Free Travel,15
2016-07,Fish Market Light Rail,School Student,19
2016-07,Fish Market Light Rail,Senior/Pensioner,3983
